filmid,slug
50963,live-free-or-die-hard
50962,die-hard-with-a-vengeance
50961,die-hard-2
50958,resident-evil
50957,resident-evil-apocalypse
50941,night-at-the-museum
50937,meet-the-parents
50916,liar-liar
50845,con-air
50827,the-incredible-hulk
50825,iron-man-2008
50818,the-mummy-returns
50809,captain-america-the-first-avenger
50776,phone-booth
50769,lord-of-war
50742,transformers
50735,pirates-of-the-caribbean-on-stranger-tides
50713,the-empire-strikes-back
50712,return-of-the-jedi
50711,star-wars-episode-i-the-phantom-menace
50710,star-wars-episode-ii-attack-of-the-clones
50709,star-wars-episode-iii-revenge-of-the-sith
50677,the-amazing-spider-man
50660,crank
50659,zodiac
50654,the-butterfly-effect
50631,fantastic-four-rise-of-the-silver-surfer
50617,lara-croft-tomb-raider
50589,the-patriot-2000
50580,training-day
50568,i-robot
50561,national-treasure
50544,x-men-origins-wolverine
50521,american-pie
50517,rush-hour
50509,la-confidential
50357,clerks
50349,space-jam
50225,the-bourne-identity-2002
50224,the-bourne-supremacy
51865,sin-city
51855,braveheart
51843,north-by-northwest
51838,the-terminator
51818,the-godfather
51816,the-godfather-part-ii
51814,the-godfather-part-iii
51804,willy-wonka-the-chocolate-factory
51802,king-kong-2005
51788,batman-1989
51778,the-shawshank-redemption
51776,terminator-2-judgment-day
51773,pirates-of-the-caribbean-at-worlds-end
51761,oceans-thirteen
51749,bruce-almighty
51733,jurassic-park
51732,the-lost-world-jurassic-park
51731,jurassic-park-iii
51709,batman-returns
51696,kill-bill-vol-2
51679,the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe
51678,batman-forever
51677,batman-robin
51670,ice-age
51666,the-good-the-bad-and-the-ugly
51660,the-day-after-tomorrow
51648,a-beautiful-mind
51614,borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan
51613,the-green-mile
51610,reservoir-dogs
51568,fight-club
51561,spider-man
51560,spider-man-2
51559,spider-man-3
51556,die-hard
51554,the-mummy-1999
51536,2-fast-2-furious
51535,monsters-inc
51519,independence-day
51518,the-matrix
51517,the-matrix-reloaded
51516,the-matrix-revolutions
51514,men-in-black
51513,men-in-black-ii
51508,the-passion-of-the-christ
51503,grease
51490,bridget-joness-diary
51484,catch-me-if-you-can-2002
51474,boyz-n-the-hood
51453,harry-potter-and-the-philosophers-stone
51452,harry-potter-and-the-chamber-of-secrets
51451,harry-potter-and-the-prisoner-of-azkaban
51450,harry-potter-and-the-goblet-of-fire
51449,harry-potter-and-the-order-of-the-phoenix
51444,pulp-fiction
51433,meet-the-fockers
51416,goldeneye
51408,top-gun
51407,the-sixth-sense
51405,shaun-of-the-dead
51398,face-off
51381,home-alone
51365,mr-mrs-smith-2005
51364,mrs-doubtfire
51360,platoon
51344,shrek
107670,justice-league
107418,star-wars-the-force-awakens
106267,were-the-millers
106262,the-conjuring
105183,edge-of-tomorrow
104174,jurassic-world
103559,pain-gain
101991,the-hunger-games-mockingjay-part-1
101990,the-hunger-games-mockingjay-part-2
99507,x-men-days-of-future-past
99402,finding-dory
98336,godzilla-2014
96552,the-hobbit-the-battle-of-the-five-armies
95113,the-grand-budapest-hotel
93676,guardians-of-the-galaxy
90896,pitch-perfect
88488,snowpiercer
87964,captain-phillips
87953,the-hangover-part-iii
87948,frozen-2013
87873,this-is-the-end
86991,the-worlds-end
86114,the-wolf-of-wall-street
83557,ant-man
83424,maleficent
83215,the-amazing-spider-man-2
82488,the-hunger-games-catching-fire
81909,captain-america-the-winter-soldier
81605,avengers-age-of-ultron
80349,zero-dark-thirty
76504,transformers-age-of-extinction
75322,this-is-40
73594,terminator-genisys
69453,fast-furious-6
69154,wreck-it-ralph
69064,warm-bodies
66563,enders-game
63462,end-of-watch
62822,thor-the-dark-world
62671,12-years-a-slave
62638,the-wolverine
62238,jack-reacher
62108,oblivion-2013
62065,now-you-see-me
60733,the-grey
60298,halloween-1978
59281,the-hunger-games
57376,ted
57292,world-war-z
52516,django-unchained
52513,iron-man-3
52510,elysium-2013
52508,pacific-rim
52501,argo
51989,pirates-of-the-caribbean-dead-mans-chest
51984,8-mile
51977,american-history-x
51960,beverly-hills-cop
51955,armageddon
51949,leon-the-professional
51947,taxi-driver
51944,predator
51943,snatch
51933,the-untouchables
51932,charlie-and-the-chocolate-factory
51921,spirited-away
51914,groundhog-day
51888,oceans-twelve
51875,saw
247385,dark-phoenix
246013,the-big-short
242710,spider-man-homecoming
242285,puss-in-boots-the-last-wish
240344,la-la-land
239260,creed
237177,the-witch-2015
235745,dope-2015
235388,war-dogs-2016
234208,southpaw-2015
228628,toy-story-4
227784,annihilation
226750,captain-marvel
226661,avengers-infinity-war
226660,avengers-endgame
225060,aquaman-2018
225027,wonder-woman-2017
225026,suicide-squad-2016
223396,bridge-of-spies
221232,maze-runner-the-scorch-trials
220754,the-age-of-adaline
220575,deadpool
220080,kong-skull-island
217178,terminator-dark-fate
213190,shazam
211511,the-martian
209383,black-panther
209382,thor-ragnarok
209381,doctor-strange-2016
209322,guardians-of-the-galaxy-vol-2
207224,the-revenant-2015
197012,the-hateful-eight
192410,zootopia
184526,black-mass-2015
184061,incredibles-2
183255,the-conjuring-2
182910,fantastic-beasts-and-where-to-find-them
180414,focus-2015
178123,the-lobster
174952,annabelle
172492,x-men-apocalypse
172076,john-wick
169907,nightcrawler
169728,the-babadook
161002,the-interview-2014
160497,fury-2014
159976,unbroken
157841,sausage-party
152464,ted-2
149857,gone-girl
148998,batman-v-superman-dawn-of-justice
148200,kingsman-the-secret-service
